Packages;Destination;Approach
;Warehouse;09:00:00
0;Vulytsya Khersonsʹka, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:25:37
1;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:55:14
2;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:08:06
3;Vulytsya Lʹva Tolstoho, 24, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:27:17
4;Academician Amosov St, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:41:21
5;Vulytsya Robocha, 39, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:03:23
6;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:17:54
7;Vulytsya Kolodyazhna, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:26:50
8;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:51:59
9;Provulok Fisaka, 10, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:04:40
;Warehouse;12:25:20
